mal_id,mean_score_reco,max_score_reco,min_score_reco,mean_members_reco,max_members_reco,min_members_reco
11001,7.946666666666666,8.91,7.32,650058.6666666666,1900357.0,11088.0
11005,6.985,7.44,6.68,651817.0,1505271.0,177333.0
11009,7.36,7.36,7.36,6450.0,6450.0,6450.0
11013,7.414242424242424,8.53,5.18,564510.0757575758,2318129.0,25212.0
11017,5.88,5.88,5.88,1986.0,1986.0,1986.0
11021,7.190810810810811,8.56,5.73,354381.8918918919,4230312.0,18260.0
11031,6.605,7.4,5.86,25174.5,70833.0,6270.0
11043,8.03,8.03,8.03,1812885.0,1812885.0,1812885.0
11061,7.837586206896551,9.1,5.75,995519.183908046,4230312.0,2040.0
11065,6.859999999999999,7.27,6.58,15786.0,21359.0,8304.0
11067,6.75,6.75,6.75,18803.0,18803.0,18803.0
11079,7.2870833333333325,8.47,5.79,286573.4166666667,1302351.0,7438.0
11087,7.7,7.7,7.7,23226.0,23226.0,23226.0
11093,5.81,5.81,5.81,1105.0,1105.0,1105.0
11103,7.001111111111111,7.74,6.05,188513.55555555556,666500.0,6162.0
11111,7.276019417475728,9.07,3.28,710698.6893203884,4230312.0,16913.0
11123,7.67,7.67,7.67,186605.0,186605.0,186605.0
11135,7.632857142857143,8.26,7.38,434195.28571428574,1006044.0,22399.0
11161,6.88,7.0,6.72,100759.33333333333,185306.0,35105.0
11177,7.34,7.74,6.94,91085.0,101954.0,80216.0
11179,7.388,8.93,6.37,401055.63333333336,2318129.0,22644.0
11185,6.28125,7.0,5.7,18009.5,87445.0,4010.0
11189,7.03,7.03,7.03,91482.0,91482.0,91482.0
11209,5.81,6.85,4.77,37252.5,62635.0,11870.0
11221,7.71,7.71,7.71,172173.0,172173.0,172173.0
11227,7.150454545454545,8.71,5.96,249639.68181818182,2401830.0,6833.0
11235,7.148333333333333,7.99,5.97,440299.3333333333,1480574.0,38230.0
11239,8.0325,8.47,7.64,99123.5,138678.0,61329.0
11241,7.3038461538461545,8.73,6.03,429611.23076923075,2668197.0,16265.0
11266,6.904999999999999,7.14,6.67,15742.5,15854.0,15631.0
11285,7.144426229508197,9.07,5.49,469000.7213114754,2737090.0,17167.0
11307,7.19,7.19,7.19,3345.0,3345.0,3345.0
11313,7.105714285714285,8.29,5.91,475044.0,1679420.0,5619.0
11319,7.208125,8.91,6.11,829765.125,3232300.0,87024.0
11321,7.0725,7.78,5.87,54311.0,122667.0,21242.0
11341,7.48,7.5,7.46,173399.0,247349.0,99449.0
11349,6.7925,7.13,6.04,12204.0,23076.0,5267.0
11355,7.4275,8.36,6.74,389635.5,1962199.0,15644.0
11371,8.1225,8.2,8.05,505677.75,1281899.0,106474.0
11375,7.414285714285714,8.01,6.98,678997.5714285715,3232300.0,3399.0
11385,6.87,7.47,6.41,35663.333333333336,63564.0,6443.0
11411,5.0,5.8,4.2,23847.5,43208.0,4487.0
11433,7.272769230769231,8.93,5.42,522756.0307692308,2359308.0,8434.0
11441,6.73,6.73,6.73,152253.0,152253.0,152253.0
11447,7.0525,8.11,6.31,95940.25,264913.0,16678.0
11457,7.2444444444444445,7.9,6.2,142302.94444444444,622622.0,1266.0
11467,7.335,7.77,6.9,144350.0,277346.0,11354.0
11469,6.21,6.21,6.21,5740.0,5740.0,5740.0
11483,6.345,6.72,5.97,7286.0,12177.0,2395.0
11487,8.23,8.23,8.23,384832.0,384832.0,384832.0
11491,6.5407142857142855,8.03,5.42,90393.35714285714,633149.0,6047.0
11499,7.2976,8.32,5.3,580328.48,2273787.0,1512.0
11523,6.5600000000000005,7.08,6.04,16550.0,27833.0,5267.0
11531,8.09,8.36,7.87,800029.6666666666,990406.0,566378.0
11537,,,,374.0,374.0,374.0
11543,6.825,7.74,5.44,111490.25,432824.0,604.0
11547,7.1475,7.44,6.49,125663.75,308053.0,4150.0
11553,7.306,8.12,6.65,465614.2,1720151.0,43514.0
11561,7.21,7.21,7.21,7334.0,7334.0,7334.0
11577,8.249166666666667,9.07,7.28,745546.0833333334,2942216.0,52646.0
11579,6.13,7.26,4.94,12179.8,39808.0,1011.0
11597,7.463448275862069,8.65,5.98,541485.3448275862,2273787.0,29400.0
11615,7.545,7.63,7.46,54072.5,85153.0,22992.0
11617,7.019,8.73,5.3,688568.4,3232300.0,4731.0
11633,7.5994230769230775,8.93,6.07,1030235.1923076923,4170767.0,3277.0
11659,6.746666666666667,7.98,6.07,372380.0,1111831.0,2032.0
11661,6.63,7.21,6.05,57634.5,106050.0,9219.0
11665,7.93,8.65,7.32,584557.4285714285,1480574.0,50874.0
11679,5.33625,8.02,3.58,263623.625,1581702.0,2510.0
11687,5.288571428571428,7.87,3.4,257691.14285714287,934308.0,3007.0
11689,4.0920000000000005,5.21,3.28,5116.0,8999.0,2833.0
11691,4.031666666666666,5.21,3.4,4993.333333333333,8999.0,3007.0
11695,6.355,6.4,6.31,1791.5,1995.0,1588.0
11697,7.721379310344827,8.78,5.29,328231.4827586207,2359308.0,15681.0
11701,6.77,6.77,6.77,19945.0,19945.0,19945.0
11703,7.507714285714285,9.1,5.74,898743.7714285714,4170767.0,5371.0
11705,7.43,8.6,6.26,372744.5,735877.0,9612.0
11729,7.075,7.67,6.48,38110.0,67806.0,8414.0
11735,5.2,7.13,3.27,55810.5,107258.0,4363.0
11737,7.346666666666667,7.52,7.09,203918.33333333334,296201.0,128333.0
11739,8.08,8.47,7.65,639942.125,1201583.0,98231.0
11741,7.928387096774194,9.1,6.05,1152713.4516129033,4230312.0,5752.0
11743,7.5,7.77,7.32,160255.66666666666,228459.0,32566.0
11745,8.155000000000001,8.71,7.6,1216053.5,2401830.0,30277.0
11747,6.12,6.12,6.12,4713.0,4713.0,4713.0
11749,5.925,6.36,5.63,6451.0,9559.0,2640.0
11751,7.197941176470588,8.64,5.28,448974.32352941175,3430848.0,6168.0
11755,7.26,8.51,5.49,140164.25,683478.0,2292.0
11757,7.285691489361702,9.03,5.25,699829.8936170213,4230312.0,2253.0
11759,7.211111111111112,8.73,5.48,669768.4027777778,3232300.0,2591.0
11761,7.629767441860465,8.93,6.17,799347.1860465116,3430848.0,28408.0
11763,6.650833333333334,8.78,4.58,122618.58333333333,665742.0,1720.0
11769,7.12,7.74,6.49,318041.0,1075539.0,39647.0
11771,7.6838461538461535,9.03,5.88,539627.4307692308,3080867.0,5939.0
11783,7.023333333333333,7.41,6.46,406525.3333333333,855507.0,153027.0
11785,7.128235294117647,8.93,3.93,494734.9705882353,2156422.0,3939.0
11795,5.706,8.36,3.09,188647.0,566378.0,818.0
11799,5.94,5.94,5.94,2010.0,2010.0,2010.0
11809,6.141176470588236,8.15,3.27,129788.16666666667,1105066.0,191.0
11813,7.44,7.87,6.67,673467.3333333334,1793398.0,12686.0
11815,6.79,6.79,6.79,6840.0,6840.0,6840.0
11825,4.87,4.87,4.87,781.0,781.0,781.0
11827,6.67125,7.6,5.86,14954.9375,40356.0,5132.0
11837,7.391153846153846,9.1,5.97,863273.6730769231,4230312.0,10713.0
11843,7.588319327731092,9.05,5.82,417430.5714285714,2156422.0,2431.0
11855,5.8325,6.78,5.04,4441.75,8867.0,815.0
11859,6.638333333333333,7.58,5.67,126695.83333333333,220538.0,53035.0
11867,5.62375,9.02,3.17,31864.0,350634.0,1231.0
11869,4.16,4.8,3.42,4637.0,6496.0,2968.0
11879,6.795,7.41,6.41,14283.0,20308.0,9592.0
11883,3.635,3.69,3.58,3218.5,3430.0,3007.0
11887,7.525312499999999,9.07,5.42,745741.3229166666,3232300.0,33508.0
11897,3.69,3.69,3.69,3007.0,3007.0,3007.0
11915,3.93,3.93,3.93,3485.0,3485.0,3485.0
11917,8.29,8.29,8.29,160929.0,160929.0,160929.0
11933,7.335957446808511,9.07,5.68,629412.1489361703,3232300.0,5910.0
11969,6.31,6.51,6.02,8464.333333333334,11817.0,6150.0
11977,7.682222222222222,9.07,6.01,836269.2222222222,2737090.0,5412.0
11979,8.405714285714286,9.07,7.92,1000508.8571428572,2737090.0,12758.0
11981,7.760769230769231,9.02,5.69,451481.3846153846,1962199.0,3174.0
11995,6.5,6.5,6.5,27576.0,27576.0,27576.0
11997,6.45,6.61,6.22,9363.666666666666,12742.0,7418.0
12005,6.8100000000000005,7.29,6.33,117858.0,232497.0,3219.0
12015,6.975,7.32,6.63,34154.5,58004.0,10305.0
12021,6.884347826086957,8.3,5.85,83696.69565217392,706544.0,2256.0
12029,7.725666666666666,9.02,6.91,290933.6666666667,1962199.0,17356.0
12031,7.698292682926829,9.02,5.95,706752.0487804879,4230312.0,835.0
12035,7.6450000000000005,8.89,6.64,397422.0,1265581.0,5026.0
12055,6.975454545454546,7.4,6.48,24090.727272727272,70833.0,8084.0
12057,6.62625,7.1,5.99,89443.75,534379.0,5685.0
12059,6.412857142857143,7.4,5.83,12655.785714285714,41079.0,2450.0
12065,5.6625,6.17,4.72,31671.5,49452.0,18409.0
12069,6.73,7.26,6.2,6153.5,6362.0,5945.0
12079,7.923333333333335,8.31,7.33,739073.0,1878751.0,11765.0
12113,7.2475000000000005,8.83,6.53,135939.75,336270.0,35448.0
12115,7.255,8.24,6.48,776986.25,2380325.0,8084.0
12119,7.171034482758621,7.94,5.88,241224.89655172414,1105066.0,18265.0
12121,8.31,8.31,8.31,326703.0,326703.0,326703.0
12123,6.895,7.28,6.51,41005.0,54086.0,27924.0
12137,6.773333333333333,6.84,6.72,27063.0,27970.0,25456.0
12141,6.52,7.21,5.83,11175.5,21164.0,1187.0
12143,6.466666666666666,6.89,5.87,50012.666666666664,122667.0,10549.0
12145,6.345,6.51,6.18,22803.0,42760.0,2846.0
12149,7.0633333333333335,8.38,5.5,279781.7450980392,2164124.0,2908.0
12175,7.410666666666667,8.21,6.03,674269.7333333333,2318129.0,22735.0
12189,7.719323308270678,9.07,5.42,682610.8345864662,4170767.0,3186.0
12191,7.294814814814815,8.93,5.88,361606.51851851854,2984661.0,1341.0
12231,7.58,7.58,7.58,74019.0,74019.0,74019.0
12237,7.37,7.4,7.34,423950.0,464672.0,383228.0
12281,7.04,7.44,6.64,228255.5,356341.0,100170.0
12291,7.343582089552238,8.47,6.2,415691.9104477612,2318129.0,21259.0
12293,7.066181818181818,8.27,5.32,620866.0,3232300.0,49787.0
12317,6.896086956521739,8.05,5.86,355677.26086956525,2164124.0,25831.0
12321,6.9795,7.95,5.45,75894.5,280168.0,3774.0
12355,7.877538461538461,8.93,5.98,582556.0909090909,2984661.0,472.0
12359,6.04,6.04,6.04,1189.0,1189.0,1189.0
12361,8.11,8.11,8.11,166621.0,166621.0,166621.0
12365,8.146666666666667,8.37,7.81,633702.0,1469077.0,248794.0
12367,6.714615384615384,7.76,5.66,210673.0,1431804.0,13861.0
12373,6.81,6.81,6.81,8005.0,8005.0,8005.0
12375,7.183333333333334,7.55,6.65,35655.333333333336,63770.0,12794.0
12403,7.453333333333333,8.47,6.53,323676.0,1105066.0,7988.0
12413,7.614423076923076,8.77,6.26,556125.8076923077,2164124.0,7469.0
12431,7.798627450980392,9.03,5.42,447337.90196078434,3080867.0,1504.0
12433,7.293333333333333,7.81,6.88,548542.0,986653.0,242723.0
12437,6.817,8.04,4.14,212968.1,875726.0,3196.0
12445,7.386176470588235,8.32,6.09,580112.5147058824,2164124.0,7473.0
12449,5.886,7.02,4.72,22145.0,65526.0,4043.0
12451,7.11,7.11,7.11,5800.0,5800.0,5800.0
12461,7.181515151515152,8.3,5.18,280779.6060606061,1314178.0,12807.0
12467,7.438085106382978,8.93,6.35,651468.1063829787,2525565.0,20823.0
12471,7.345333333333333,8.36,6.43,409336.86666666664,1962199.0,27090.0
12477,7.7029411764705875,8.83,6.19,531011.4705882353,2942216.0,25831.0
12487,8.26,9.02,7.5,504543.5,658453.0,350634.0
12501,6.605,7.64,5.54,169022.33333333334,505365.0,3972.0
12503,7.824999999999999,9.03,6.62,785136.5,3080867.0,152.0
12505,6.17,6.17,6.17,28999.0,28999.0,28999.0
12531,7.862686567164179,8.93,5.42,518263.41791044775,2359308.0,6057.0
12549,6.910344827586207,7.86,5.95,503003.6206896552,1632879.0,71893.0
12563,7.22,7.22,7.22,37272.0,37272.0,37272.0
12581,6.258181818181819,7.21,5.14,243923.81818181818,671358.0,27307.0
12611,6.5200000000000005,7.35,5.46,170006.42857142858,427591.0,7667.0
12661,6.47,6.47,6.47,3351.0,3351.0,3351.0
12665,5.235,6.15,4.32,4595.0,8117.0,1073.0
12677,7.447647058823529,8.36,6.73,291483.70588235295,1816496.0,10223.0
12679,7.397,8.93,5.45,359703.22,2513139.0,2967.0
12685,5.726666666666667,7.39,4.08,32717.666666666668,132238.0,450.0
12695,6.991818181818181,8.29,6.11,119725.81818181818,409285.0,7594.0
12699,8.47,8.47,8.47,959723.0,959723.0,959723.0
12711,7.152857142857143,8.16,5.88,344555.85714285716,1201583.0,64265.0
12745,7.1274999999999995,8.36,5.9,210874.25,424204.0,1483.0
12753,7.2,7.2,7.2,54756.0,54756.0,54756.0
12755,7.08,7.08,7.08,26782.0,26782.0,26782.0
12783,7.19,7.19,7.19,33362.0,33362.0,33362.0
12795,6.22,6.22,6.22,3446.0,3446.0,3446.0
12799,5.86,5.86,5.86,2323.0,2323.0,2323.0
